order_item_id,order_id,customer_id,country,product_sku,quantity,unit_price,line_total,order_date
1,9001,1001,JP,SKU-A100,2,49.99,99.98,2025-01-12
2,9001,1001,JP,SKU-B220,1,42.52,42.52,2025-01-12
3,9002,1002,US,SKU-C310,1,89.99,89.99,2025-01-15
4,9003,1003,IN,SKU-A100,3,49.99,149.97,2025-02-02
5,9003,1003,IN,SKU-D405,2,81.00,162.00,2025-02-02
6,9004,1001,JP,SKU-B220,1,42.52,42.52,2025-02-18
7,9004,1001,JP,SKU-E550,1,14.73,14.73,2025-02-18
8,9005,1004,DE,SKU-F900,4,256.10,1024.40,2025-03-04
9,9006,1005,IE,SKU-C310,1,76.10,76.10,2025-03-21
10,9007,1006,AE,SKU-D405,2,81.00,162.00,2025-04-02
11,9007,1006,AE,SKU-A100,1,49.99,49.99,2025-04-02
12,9007,1006,AE,SKU-E550,2,11.38,22.76,2025-04-02
13,9008,1007,IT,SKU-E550,1,49.00,49.00,2025-04-15
14,9009,1002,US,SKU-F900,2,256.10,512.20,2025-04-28
15,9009,1002,US,SKU-D405,1,97.80,97.80,2025-04-28
16,9010,1008,SE,SKU-B220,2,42.52,85.04,2025-05-09
17,9010,1008,SE,SKU-A100,2,49.58,99.16,2025-05-09
